ProperNounCandidate,Count
SPC,5542
GainSeeker,4782
DMS,4408
HTML,1528
OEE,1453
DPU,933
GainSeeker Charts,782
Python,732
COM,521
PC Collect,520
OPC,496
XML,464
Windows,461
SQL,446
SPC Charts,424
SPC Data Entry,408
GS,395
DMS Charts,337
DMS Data Entry,205
GainSeeker Utility,202
GagePort,177
CuSum,154
GainSeeker Inspections,150
ODBC,143
Excel,129
Hertzler Systems,126
GainSeeker Suite,117
PowerPoint,117
GS Collect,112
Microsoft,107
GainSeeker Publish,104
GainSeeker System Administration,102
HSI,93
LaunchPad,92
SQL Utility,90
SPC Database Monitor,87
SPC Designer,87
SSL,86
GS Analyze,81
Microsoft Excel,77
ExportType,77
DateTime,76
SQL Server,75
GS Console,69
OEE Charts,68
OnChange,62
Microsoft Outlook,59
Power BI,58
Active Directory,57
WordPad,56
GainSeeker SPC,52
The GainSeeker Charts,51
MySvar,51
Python Script Editor,50
Teams,50
ForceNote,50
SPC Data,49
WebViz,40
DMS Data,39
Microsoft Teams,38
The GainSeeker,38
ShowIndividualNote,38
VSTDS,38
MyNvar,38
If GainSeeker,37
GainSeeker Mobile Web Service,36
The SPC,36
OEE Quality,35
FormulaMode,35
DMS Standard,34
DCOM,34
DMS Event,34
PDF,34
GS Console Manager,33
See XML,33
DPU Chart,33
OEE Chart,32
GainSe,32
GainSeeker Administration,32
OPC Server,32
Collect,31
Outlook,30
OpenType,30
See Python,29
SQL Statement Design,29
NotePad,28
NoteVisible,28
SPC Event,27
Microsoft Word,27
SPC Chart,26
GainSeeker DSN,26
DA,25
ValueMinimum,25
ValueMaximum,25
SPC Cause,24
Microsoft SQL Server,24
TimerFileNameExport,23
SPC Standard Utility,23
DMS Part Number,22
OEE Performance,22
Python Script Designer,22
SPC Planner,22
Hertzler Systems Program Group,22
LiveCode,21
ExportList,21
SPC Database,21
Microsoft PowerPoint,21
SPC Standards,21
SPC Action Taken,20
DPU Yield,20
SPC Information,20
See OPC Server Support,20
DataDetail,20
DarkBlue,20
Legacy GainSeeker,19
Python Script,19
DMS Process,19
TLS,18
The GainSeeker Inspections,18
Hertzler,18
DMS Chart,18
PythonScript,18
SampleSize,18
Solartron,18
FormResults,18
OEE Detail,17
Microsoft Office,17
OEE Availability,17
GainSeeker Python,17
SQL Statement,17
PocketForms,17
OPC DA,16
DMS Standards,16
AutoTick,16
UA,15
OEE Combined,15
ClickAction,15
TestSpecificTrace,15
GainSeeker System,15
CSV,15
The DMS,15
NIST,14
SnapToGrid,14
AutoSize,14
Power Tools,14
In GainSeeker,14
SPC Reports,14
ValueCheck,14
In MINITAB,14
OEE Sum,14
SPC Statistics,13
DPU Detail,13
GainSeeker Lists,13
DPU Cost,13
